"name","year","deaths","avg"
"Bangladesh",2005,897.0,640.5000000000000000
"Bangladesh",2006,384.0,2312.3333333333333333
"Bangladesh",2007,5656.0,2053.6666666666666667
"Bangladesh",2008,121.0,2061.6666666666666667
"Bangladesh",2009,408.0,299.6666666666666667
"Bangladesh",2010,370.0,314.3333333333333333
"Bangladesh",2011,165.0,404.6666666666666667
"Bangladesh",2012,679.0,302.6666666666666667
"Bangladesh",2013,64.0,354.3333333333333333
"Bangladesh",2014,320.0,228.0000000000000000
"Bangladesh",2015,300.0,297.0000000000000000
"Bangladesh",2016,271.0,355.0000000000000000
"Bangladesh",2017,494.0,289.0000000000000000
"Bangladesh",2018,102.0,278.0000000000000000
"Bangladesh",2019,238.0,237.3333333333333333
"Bangladesh",2020,372.0,305.0000000000000000
"Canada",2005,4.0,2.5000000000000000
"Canada",2006,1.0,3.6666666666666667
"Canada",2007,6.0,3.0000000000000000
"Canada",2008,2.0,8.6666666666666667
"Canada",2009,18.0,6.6666666666666667
"Canada",2010,0,12.6666666666666667
"Canada",2011,20.0,10.3333333333333333
"Canada",2012,11.0,30.6666666666666667
"Canada",2013,61.0,34.6666666666666667
"Canada",2014,32.0,31.0000000000000000
"Canada",2015,0,10.6666666666666667
"Canada",2016,0,0.66666666666666666667
"Canada",2017,2.0,29.3333333333333333
"Canada",2018,86.0,30.0000000000000000
"Canada",2019,2.0,29.6666666666666667
"Canada",2020,1.0,1.5000000000000000
"Chad",2005,129.0,100.5000000000000000
"Chad",2006,72.0,76.6666666666666667
"Chad",2007,29.0,41.0000000000000000
"Chad",2008,22.0,53.0000000000000000
"Chad",2009,108.0,131.0000000000000000
"Chad",2010,263.0,309.3333333333333333
"Chad",2011,557.0,309.3333333333333333
"Chad",2012,108.0,221.6666666666666667
"Chad",2013,0,36.0000000000000000
"Chad",2014,0,0E-20
"Chad",2015,0,0E-20
"Chad",2016,0,19.3333333333333333
"Chad",2017,58.0,19.3333333333333333
"Chad",2018,0,36.6666666666666667
"Chad",2019,52.0,18.3333333333333333
"Chad",2020,3.0,27.5000000000000000
"Guinea",2005,82.0,127.0000000000000000
"Guinea",2006,172.0,153.3333333333333333
"Guinea",2007,206.0,135.0000000000000000
"Guinea",2008,27.0,82.6666666666666667
"Guinea",2009,15.0,23.0000000000000000
"Guinea",2010,27.0,32.6666666666666667
"Guinea",2011,56.0,99.3333333333333333
"Guinea",2012,215.0,98.6666666666666667
"Guinea",2013,25.0,107.6666666666666667
"Guinea",2014,83.0,48.6666666666666667
"Guinea",2015,38.0,45.3333333333333333
"Guinea",2016,15.0,17.6666666666666667
"Guinea",2017,0,11.0000000000000000
"Guinea",2018,18.0,15.0000000000000000
"Guinea",2019,27.0,15.0000000000000000
"Guinea",2020,0,13.5000000000000000
"Indonesia",2005,1577.0,4708.5000000000000000
"Indonesia",2006,7840.0,3601.3333333333333333
"Indonesia",2007,1387.0,3136.3333333333333333
"Indonesia",2008,182.0,1198.6666666666666667
"Indonesia",2009,2027.0,1194.3333333333333333
"Indonesia",2010,1374.0,1312.3333333333333333
"Indonesia",2011,536.0,735.0000000000000000
"Indonesia",2012,295.0,365.3333333333333333
"Indonesia",2013,265.0,370.3333333333333333
"Indonesia",2014,551.0,401.3333333333333333
"Indonesia",2015,388.0,435.0000000000000000
"Indonesia",2016,366.0,320.0000000000000000
"Indonesia",2017,206.0,2102.3333333333333333
"Indonesia",2018,5735.0,2157.0000000000000000
"Indonesia",2019,530.0,2161.6666666666666667
"Indonesia",2020,220.0,375.0000000000000000
"Mexico",2005,120.0,159.5000000000000000
"Mexico",2006,199.0,176.3333333333333333
"Mexico",2007,210.0,186.6666666666666667
"Mexico",2008,151.0,160.6666666666666667
"Mexico",2009,121.0,188.6666666666666667
"Mexico",2010,294.0,189.3333333333333333
"Mexico",2011,153.0,190.3333333333333333
"Mexico",2012,124.0,204.6666666666666667
"Mexico",2013,337.0,161.0000000000000000
"Mexico",2014,22.0,173.3333333333333333
"Mexico",2015,161.0,126.6666666666666667
"Mexico",2016,197.0,311.3333333333333333
"Mexico",2017,576.0,284.0000000000000000
"Mexico",2018,79.0,289.0000000000000000
"Mexico",2019,212.0,124.3333333333333333
"Mexico",2020,82.0,147.0000000000000000
"Philippines",2005,116.0,1598.5000000000000000
"Philippines",2006,3081.0,1127.0000000000000000
"Philippines",2007,184.0,1712.6666666666666667
"Philippines",2008,1873.0,1154.3333333333333333
"Philippines",2009,1406.0,1458.0000000000000000
"Philippines",2010,1095.0,1514.3333333333333333
"Philippines",2011,2042.0,1864.6666666666666667
"Philippines",2012,2457.0,4136.0000000000000000
"Philippines",2013,7909.0,3589.6666666666666667
"Philippines",2014,403.0,2882.0000000000000000
"Philippines",2015,334.0,275.3333333333333333
"Philippines",2016,89.0,251.3333333333333333
"Philippines",2017,331.0,315.0000000000000000
"Philippines",2018,525.0,631.0000000000000000
"Philippines",2019,1037.0,592.6666666666666667
"Philippines",2020,216.0,626.5000000000000000
"Togo",2005,0,0E-20
"Togo",2006,0,23.6666666666666667
"Togo",2007,71.0,25.6666666666666667
"Togo",2008,6.0,32.0000000000000000
"Togo",2009,19.0,40.3333333333333333
"Togo",2010,96.0,50.3333333333333333
"Togo",2011,36.0,44.0000000000000000
"Togo",2012,0,14.3333333333333333
"Togo",2013,7.0,27.6666666666666667
"Togo",2014,76.0,27.6666666666666667
"Togo",2015,0,25.3333333333333333
"Togo",2016,0,0E-20
"Togo",2017,0,3.6666666666666667
"Togo",2018,11.0,3.6666666666666667
"Togo",2019,0,7.3333333333333333
"Togo",2020,11.0,5.5000000000000000
"United States",2005,2064.0,1231.0000000000000000
"United States",2006,398.0,948.0000000000000000
"United States",2007,382.0,387.6666666666666667
"United States",2008,383.0,328.6666666666666667
"United States",2009,221.0,264.3333333333333333
"United States",2010,189.0,414.3333333333333333
"United States",2011,833.0,446.6666666666666667
"United States",2012,318.0,460.3333333333333333
"United States",2013,230.0,255.0000000000000000
"United States",2014,217.0,254.3333333333333333
"United States",2015,316.0,291.3333333333333333
"United States",2016,341.0,333.6666666666666667
"United States",2017,344.0,337.3333333333333333
"United States",2018,327.0,303.6666666666666667
"United States",2019,240.0,273.3333333333333333
"United States",2020,253.0,246.5000000000000000
